ランク,所属コード,上位ランク,0,部門名称,開始世代,終了世代,コード1,コード2,コード3,コード4,コード5,コード6,コード7,コード8,コード9,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,所属名称,略称,備考,給与専用,所属コード,総表示順位
4,08052500,3,08050000,東京ビジネスリスクマネジメントチーム,64,9999,2,291,674,3211,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京ビジネスリスクマネジメントチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京ビジネスリスクマネジメントチーム,ＣＯＭ本部ＢＭ局東京ビジネスリスクマネジメントＴ,,0,08052500,69
4,08053500,3,08050000,大阪ビジネスリスクマネジメントチーム,64,9999,2,291,674,3212,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,大阪ビジネスリスクマネジメントチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 大阪ビジネスリスクマネジメントチーム,ＣＯＭ本部ＢＭ局大阪ビジネスリスクマネジメントＴ,,0,08053500,70
4,08054000,3,08050000,東京第１管理チーム,64,9999,2,291,674,3214,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京第１管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京第１管理チーム,ＣＯＭ本部ＢＭ局東京第１管理チーム,,0,08054000,71
4,08054500,3,08050000,東京第２管理チーム,64,9999,2,291,674,3215,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京第２管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京第２管理チーム,ＣＯＭ本部ＢＭ局東京第２管理チーム,,0,08054500,72
4,08055000,3,08050000,大阪管理チーム,64,9999,2,291,674,3216,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,大阪管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 大阪管理チーム,ＣＯＭ本部ＢＭ局大阪管理チーム,,0,08055000,73
4,08055500,3,08050000,名古屋管理チーム,64,9999,2,291,674,3217,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,名古屋管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 名古屋管理チーム,ＣＯＭ本部ＢＭ局名古屋管理チーム,,0,08055500,74
5,08055501,4,08055500,（医師）,64,9999,2,291,674,3217,836,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,名古屋管理チーム,（医師）,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 名古屋管理チーム （医師）,ＣＯＭ本部ＢＭ局名古屋管理チーム（医師）,,0,08055501,75
2,18000000,1,00000001,東京第１ＢＡＰ本部,64,9999,2,292,0,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,,,,,,,,株式会社  大広 東京第１ＢＡＰ本部,東京第１ＢＡＰ本部,,0,18000000,76
3,18020000,2,18000000,第１プロデュース局,64,9999,2,292,675,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局,東京第１ＢＡＰ本部第１プロデュース局,,0,18020000,77
4,18021000,3,18020000,峰松チーム,64,9999,2,292,675,3218,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,峰松チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 峰松チーム,東京第１ＢＡＰ本部第１Ｐ局峰松チーム,,0,18021000,78
4,18022000,3,18020000,佐藤（裕）チーム,64,9999,2,292,675,3219,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,佐藤（裕）チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 佐藤（裕）チーム,東京第１ＢＡＰ本部第１Ｐ局佐藤（裕）チーム,,0,18022000,79
4,18023000,3,18020000,川上チーム,64,9999,2,292,675,3220,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,川上チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 川上チーム,東京第１ＢＡＰ本部第１Ｐ局川上チーム,,0,18023000,80
4,18024000,3,18020000,安島チーム,64,9999,2,292,675,3221,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,安島チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 安島チーム,東京第１ＢＡＰ本部第１Ｐ局安島チーム,,0,18024000,81
4,18025000,3,18020000,中島谷チーム,64,9999,2,292,675,3222,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,中島谷チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 中島谷チーム,東京第１ＢＡＰ本部第１Ｐ局中島谷チーム,,0,18025000,82
4,18026000,3,18020000,田中（望）チーム,64,9999,2,292,675,3223,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,田中（望）チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 田中（望）チーム,東京第１ＢＡＰ本部第１Ｐ局田中（望）チーム,,0,18026000,83
4,18020002,3,18020000,付（ディー・クリエイト出向）,64,9999,2,292,675,3224,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（ディー・クリエイト出向）,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（ディー・クリエイト出向）,東京第１ＢＡＰ本部第１Ｐ局付（Ｄクリ出向）,,0,18020002,84
4,18027000,3,18020000,付（出向休職）,64,9999,2,292,675,3225,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）,,0,18027000,85
5,18027001,4,18027000,（ディー・クリエイト）,64,9999,2,292,675,3225,837,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,（ディー・クリエイト）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職） （ディー・クリエイト）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）（Ｄクリ）,,0,18027001,86
5,18027002,4,18027000,（大廣國際廣告股分有限公司）,64,9999,2,292,675,3225,838,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,（大廣國際廣告股分有限公司）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職） （大廣國際廣告股分有限公司）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）（台湾）,,0,18027002,87
